Peak,Reporting_Limit,05-04-KDP-01,05-04-KDP-02,05-04-KDP-03,05-04-KDP-04,05-04-KDP-05,05-04-KDP-06,05-06-KDP-01,05-06-KDP-02,05-06-KDP-03
Chloromethane (methyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chloroethene (vinyl chloride) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromomethane (methyl bromide),1,n.a./n.r.,n.a./n.r.,0.1171,0.1068,0.1033,n.a./n.r.,0.1022,0.1275,0.1229
Chloroethane (ethyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichlorofluoromethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Diethyl ether,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Acetone,2,7.8898,3.2945,3.7539,n.a./n.r.,11.7293,n.a./n.r.,n.a./n.r.,2.5926,2.167
Iodomethane,1,0.1901,0.1989,0.2425,0.1696,0.1146,0.1708,n.a./n.r.,0.1438,0.1523
Carbon disulfide,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
3-Chloropropene (allyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methylene chloride (DCM),1,n.a./n.r.,n.a./n.r.,0.1827,0.1063,0.1581,n.a./n.r.,0.1097,n.a./n.r.,n.a./n.r.
"trans-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl tert-butyl ether (MTBE) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"2,2-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"cis-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
