Peak,Reporting_Limit,10-12-24-KDP-01,10-12-24-KDP-02,10-12-24-KDP-03,10-18-24-KDP-01,10-18-24-KDP-02,10-18-24-KDP-03,10-18-24-KDP-04,10-18-24-KDP-05,10-18-24-KDP-06,10-18-24-KDP-07,10-18-24-KDP-08,10-18-24-KDP-09,10-18-24-KDP-10,10-18-24-CKS-1,10-18-24-CKS-2,10-18-24-CKS-3,10-18-24-CKS-4,10-18-24-CKS-5,10-18-24-CKS-6,10-18-24-CKS-7,10-18-24-CKS-8,10-18-24-CKS-9
Chloromethane (methyl chloride),1,n.a./n.r.,n.a.,1.526,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a.,n.a./n.r.,n.a./n.r.,1.0341,0.7742,1.2936,n.a./n.r.,0.9648,1.175,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chloroethene (vinyl chloride) ,1,0.5673,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromomethane (methyl bromide),1,0.1716,0.1459,0.1145,0.1549,0.1287,0.0965,0.0941,0.1021,0.0921,0.1,0.1106,0.104,0.1083,0.1129,0.0852,0.1143,0.1383,0.1215,0.1081,0.132,0.117,0.1136
Chloroethane (ethyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1211,0.0874,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Trichlorofluoromethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Diethyl ether,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Acetone,2,9.7171,10.404,8.102,15.7209,n.a./n.r.,n.a./n.r.,n.a./n.r.,7.185,8.098,7.4761,n.a./n.r.,n.a./n.r.,n.a./n.r.,18.1405,13.5895,19.7851,11.3022,8.9424,9.7025,n.a./n.r.,n.a./n.r.,n.a./n.r.
Iodomethane,1,0.2132,0.2714,0.1654,0.1914,0.201,0.1796,0.143,0.097,0.1851,0.1536,0.1693,0.1855,0.1826,0.2428,0.1754,0.1474,0.1492,0.1906,0.1881,0.1831,0.1556,0.1434
Carbon disulfide,1,n.a./n.r.,n.a./n.r.,0.1867,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
3-Chloropropene (allyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methylene chloride (DCM),1,0.3127,0.3189,0.2744,0.3575,0.2967,0.2807,0.2897,0.2944,0.3169,0.2894,0.2867,0.337,0.2971,0.3352,0.2951,0.3377,0.35,0.2827,0.2901,0.2997,0.2842,0.3406
"trans-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl tert-butyl ether (MTBE) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
