WATER_SYSTEM_ID,WATER_SYSTEM_NAME,FACILITY_NAME,FACILITY_NUMBER,FACILITY_TYPE,SAMPLING_POINT_NAME,SAMPLING_POINT_ID,ANALYTE_CLASS,ANALYTE_NAME,COLLECTED_ON,CONCENTRATION,UNIT_OF_MEASURE,MEASURED_VALUE,MCL,MCL_UOM,RESIDUAL_CHLORINE_AMOUNT,RESIDUAL_CHLORINE_METHOD,DISCLAIMER
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,TTHM,2020-01-30,6.400000000,UG/L,6.400000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,DIBROMOCHLOROMETHANE,2020-01-30,2.200000000,UG/L,2.200000000,,,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,BROMODICHLOROMETHANE,2020-01-30,2.400000000,UG/L,2.400000000,,,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,BROMOFORM,2020-01-30,< 0.500000000,UG/L,0.000000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,CHLOROFORM,2020-01-30,1.800000000,UG/L,1.800000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,TRICHLOROFLUOROMETHANE,2020-01-30,< 0.500000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,BROMOMETHANE,2020-01-30,< 0.500000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,KANAHA WELLS 1-  2 CHLORINATOR,TP005,TP,KANAHA TANK,29,Disinfectant By Product,DICHLORODIFLUOROMETHANE,2020-01-30,< 0.500000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2018-01-11,11.000000000,UG/L,11.000000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2018-01-11,< 0.500000000,UG/L,0.000000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2018-01-11,8.700000000,UG/L,8.700000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOCHLOROACETIC ACID,2018-01-11,2.200000000,UG/L,2.200000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2018-01-11,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2018-01-11,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2018-01-11,5.700000000,UG/L,5.700000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2018-01-11,5.000000000,UG/L,5.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2018-01-11,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2018-01-11,17.000000000,UG/L,17.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2018-01-11,3.000000000,UG/L,3.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2018-01-11,5.700000000,UG/L,5.700000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2018-04-05,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2018-04-05,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2018-04-05,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2018-04-05,6.900000000,UG/L,6.900000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2018-04-05,16.000000000,UG/L,16.000000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2018-04-05,9.000000000,UG/L,9.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2018-04-05,5.200000000,UG/L,5.200000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2018-04-05,12.000000000,UG/L,12.000000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2018-04-05,1.900000000,UG/L,1.900000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2018-04-05,19.000000000,UG/L,19.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2018-04-05,< 0.500000000,UG/L,0.000000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2018-07-23,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2018-07-23,7.300000000,UG/L,7.300000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2018-07-23,10.000000000,UG/L,10.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2018-07-23,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2018-07-23,1.400000000,UG/L,1.400000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOCHLOROACETIC ACID,2018-07-23,3.000000000,UG/L,3.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2018-07-23,19.000000000,UG/L,19.000000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2018-07-23,13.000000000,UG/L,13.000000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2018-07-23,1.100000000,UG/L,1.100000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2018-07-23,6.400000000,UG/L,6.400000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2018-07-23,3.300000000,UG/L,3.300000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2018-07-23,24.000000000,UG/L,24.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2018-10-04,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2018-10-04,2.000000000,UG/L,2.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2018-10-04,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2018-10-04,4.300000000,UG/L,4.300000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2018-10-04,3.500000000,UG/L,3.500000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2018-10-04,6.600000000,UG/L,6.600000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2018-10-04,9.800000000,UG/L,9.800000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOCHLOROACETIC ACID,2018-10-04,2.300000000,UG/L,2.300000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2018-10-04,5.200000000,UG/L,5.200000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2018-10-04,6.000000000,UG/L,6.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2018-10-04,2.100000000,UG/L,2.100000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2018-10-04,20.000000000,UG/L,20.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2019-01-04,11.000000000,UG/L,11.000000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2019-01-04,17.000000000,UG/L,17.000000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOCHLOROACETIC ACID,2019-01-04,1.900000000,UG/L,1.900000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2019-01-04,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2019-01-04,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2019-01-04,10.000000000,UG/L,10.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2019-01-04,6.600000000,UG/L,6.600000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2019-01-04,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2019-01-04,5.600000000,UG/L,5.600000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2019-01-04,< 0.500000000,UG/L,0.000000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2019-01-04,2.500000000,UG/L,2.500000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2019-01-04,19.000000000,UG/L,19.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2019-04-02,5.900000000,UG/L,5.900000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2019-04-02,1.400000000,UG/L,1.400000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2019-04-02,3.600000000,UG/L,3.600000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOCHLOROACETIC ACID,2019-04-02,2.000000000,UG/L,2.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOACETIC ACID,2019-04-02,1.700000000,UG/L,1.700000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOBROMOACETIC ACID,2019-04-02,< 1.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TRICHLOROACETIC ACID,2019-04-02,1.800000000,UG/L,1.800000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2019-04-02,2.400000000,UG/L,2.400000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2019-04-02,< 2.000000000,UG/L,0.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2019-04-02,15.000000000,UG/L,15.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2019-04-02,5.000000000,UG/L,5.000000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2019-04-02,4.800000000,UG/L,4.800000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TTHM,2019-07-26,20.000000000,UG/L,20.000000000,80.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DIBROMOCHLOROMETHANE,2019-07-26,5.600000000,UG/L,5.600000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMODICHLOROMETHANE,2019-07-26,4.300000000,UG/L,4.300000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,TOTAL HALOACETIC ACIDS -HAA5-,2019-07-26,7.800000000,UG/L,7.800000000,60.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,BROMOFORM,2019-07-26,6.200000000,UG/L,6.200000000,1.000000000,MG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,CHLOROFORM,2019-07-26,4.400000000,UG/L,4.400000000,1.000000000,UG/L     ,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,DICHLOROACETIC ACID,2019-07-26,2.600000000,UG/L,2.600000000,,,,,
HI0000214,LAHAINA,LAHAINA DIST,DS214,DS,BAKER ST.  HYD. 205,903,Disinfectant By Product,MONOCHLOROACETIC ACID,2019-07-26,< 2.000000000,UG/L,0.000000000,,,,,
